fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
2019-01-01,AA,AA,AA,2608,AA,N314PD,2608,13303,MIA,"Miami, FL",11057,CLT,"Charlotte, NC",1025,1030,5,17,1047,1216,9,1234,1225,-9,0,,0,N,129,115,89,1,650,,,,,,,,,
2019-01-01,AA,AA,AA,2609,AA,N156AN,2609,11298,DFW,"Dallas/Fort Worth, TX",12889,LAS,"Las Vegas, NV",1645,1640,-5,18,1658,1730,5,1746,1735,-11,0,,0,N,181,175,152,1,1055,,,,,,,,,
2019-01-01,AA,AA,AA,2610,AA,N9681B,2610,11193,CVG,"Cincinnati, OH",11298,DFW,"Dallas/Fort Worth, TX",1558,1553,-5,12,1605,1724,29,1744,1753,9,0,,0,N,166,180,139,1,812,,,,,,,,,
2019-01-01,AA,AA,AA,2610,AA,N9681B,2610,11298,DFW,"Dallas/Fort Worth, TX",11193,CVG,"Cincinnati, OH",1215,1210,-5,9,1219,1457,6,1518,1503,-15,0,,0,N,123,113,98,1,812,,,,,,,,,
2019-01-01,AA,AA,AA,2611,AA,N130AN,2611,13930,ORD,"Chicago, IL",12892,LAX,"Los Angeles, CA",1331,1403,32,16,1419,1602,16,1607,1618,11,0,,0,N,276,255,223,1,1744,,,,,,,,,
2019-01-01,AA,AA,AA,2613,AA,N962NN,2613,11298,DFW,"Dallas/Fort Worth, TX",14908,SNA,"Santa Ana, CA",915,918,3,15,933,1028,3,1040,1031,-9,0,,0,N,205,193,175,1,1205,,,,,,,,,
2019-01-01,AA,AA,AA,2614,AA,N301NW,2614,14771,SFO,"San Francisco, CA",13930,ORD,"Chicago, IL",752,746,-6,14,800,1349,19,1409,1408,-1,0,,0,N,257,262,229,1,1846,,,,,,,,,
2019-01-01,AA,AA,AA,2615,AA,N935AN,2615,10849,BZN,"Bozeman, MT",11298,DFW,"Dallas/Fort Worth, TX",1343,1344,1,93,1517,1847,32,1748,1919,91,0,,0,N,185,275,150,1,1163,1,0,90,0,0,,,,
2019-01-01,AA,AA,AA,2615,AA,N935AN,2615,11298,DFW,"Dallas/Fort Worth, TX",10849,BZN,"Bozeman, MT",1035,1032,-3,18,1050,1234,5,1258,1239,-19,0,,0,N,203,187,164,1,1163,,,,,,,,,
2019-01-01,AA,AA,AA,2616,AA,N9621A,2616,13851,OKC,"Oklahoma City, OK",11298,DFW,"Dallas/Fort Worth, TX",838,1301,263,13,1314,1355,10,955,1405,250,0,,0,N,77,64,41,1,175,250,0,0,0,0,1211.0,20,20,
2019-01-01,AA,AA,AA,2617,AA,N984NN,2617,12264,IAD,"Washington, DC",11298,DFW,"Dallas/Fort Worth, TX",626,626,0,18,644,901,15,910,916,6,0,,0,N,224,230,197,1,1172,,,,,,,,,
